2026-03-06 18:18:04,705 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 18:18:14,996 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 18:18:14,997 | INFO | scraper.comment_scroller | Scroll iteration 1
2026-03-06 18:18:17,094 | INFO | scraper.comment_scroller | Clicking load more comments
2026-03-06 18:18:17,240 | WARNING | scraper.comment_scroller | Load more comments button not found
2026-03-06 18:18:17,240 | INFO | scraper.comment_scroller | Scroll iteration 2
2026-03-06 18:18:19,338 | INFO | scraper.comment_scroller | Scroll iteration 3
2026-03-06 18:18:21,378 | INFO | scraper.comment_scroller | Scroll iteration 4
2026-03-06 18:18:23,402 | INFO | scraper.comment_scroller | Scroll iteration 5
2026-03-06 18:18:25,420 | INFO | scraper.comment_scroller | Scroll iteration 6
2026-03-06 18:18:27,445 | INFO | scraper.comment_scroller | Scroll iteration 7
2026-03-06 18:18:29,476 | INFO | scraper.comment_scroller | Scroll iteration 8
2026-03-06 18:18:31,495 | INFO | scraper.comment_scroller | Scroll iteration 9
2026-03-06 18:18:33,512 | INFO | scraper.comment_scroller | Scroll iteration 10
2026-03-06 18:18:35,538 | INFO | scraper.comment_scroller | Finished scrolling comments
2026-03-06 18:18:35,540 | INFO | scraper.comment_extractor | Extracting comments from page
2026-03-06 18:18:35,574 | INFO | scraper.comment_extractor | Total comment containers: 0
2026-03-06 18:18:35,574 | INFO | scraper.comment_extractor | Extracted 0 comments
2026-03-06 18:18:45,587 | INFO | scraper.browser | Closing browser
2026-03-06 18:34:57,590 | INFO | scraper.browser | Starting Playwright
2026-03-06 18:34:59,208 | INFO | scraper.browser | Browser launched successfully
2026-03-06 18:34:59,211 | INFO | scraper.linkedin_login | Navigating to LinkedIn login page
2026-03-06 18:35:03,534 | INFO | scraper.linkedin_login | Entering credentials
2026-03-06 18:35:08,858 | INFO | scraper.linkedin_login | LinkedIn login successful
2026-03-06 18:35:11,861 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 18:35:21,897 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 18:35:21,898 | INFO | scraper.comment_scroller | Scroll iteration 1
2026-03-06 18:35:23,995 | INFO | scraper.comment_scroller | Clicking load more comments
2026-03-06 18:35:24,158 | WARNING | scraper.comment_scroller | Load more comments button not found
2026-03-06 18:35:24,159 | INFO | scraper.comment_scroller | Scroll iteration 2
2026-03-06 18:35:26,182 | INFO | scraper.comment_scroller | Scroll iteration 3
2026-03-06 18:35:28,208 | INFO | scraper.comment_scroller | Scroll iteration 4
2026-03-06 18:35:30,237 | INFO | scraper.comment_scroller | Scroll iteration 5
2026-03-06 18:35:32,259 | INFO | scraper.comment_scroller | Scroll iteration 6
2026-03-06 18:35:34,278 | INFO | scraper.comment_scroller | Scroll iteration 7
2026-03-06 18:35:36,299 | INFO | scraper.comment_scroller | Scroll iteration 8
2026-03-06 18:35:38,326 | INFO | scraper.comment_scroller | Scroll iteration 9
2026-03-06 18:35:40,353 | INFO | scraper.comment_scroller | Scroll iteration 10
2026-03-06 18:35:42,379 | INFO | scraper.comment_scroller | Finished scrolling comments
2026-03-06 18:35:42,379 | INFO | scraper.comment_extractor | Extracting comments from page
2026-03-06 18:35:42,429 | INFO | scraper.comment_extractor | Found containers using selector: article.comments-comment-entity
2026-03-06 18:35:42,430 | INFO | scraper.comment_extractor | Total comment containers: 23
2026-03-06 18:35:43,700 | INFO | scraper.comment_extractor | Extracted 23 comments
2026-03-06 18:35:53,712 | INFO | scraper.browser | Closing browser
2026-03-06 18:43:35,601 | INFO | scraper.browser | Starting Playwright
2026-03-06 18:43:36,939 | INFO | scraper.browser | Browser launched successfully
2026-03-06 18:43:36,940 | INFO | scraper.linkedin_login | Navigating to LinkedIn login page
2026-03-06 18:43:40,146 | INFO | scraper.linkedin_login | Entering credentials
2026-03-06 18:43:45,449 | INFO | scraper.linkedin_login | LinkedIn login successful
2026-03-06 18:43:48,457 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 18:44:03,179 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 18:44:03,180 | INFO | scraper.comment_scroller | Scroll iteration 1
2026-03-06 18:44:05,256 | INFO | scraper.comment_scroller | Clicking load more comments
2026-03-06 18:44:05,345 | WARNING | scraper.comment_scroller | Load more comments button not found
2026-03-06 18:44:05,345 | INFO | scraper.comment_scroller | Scroll iteration 2
2026-03-06 18:44:07,377 | INFO | scraper.comment_scroller | Scroll iteration 3
2026-03-06 18:44:09,405 | INFO | scraper.comment_scroller | Scroll iteration 4
2026-03-06 18:44:11,428 | INFO | scraper.comment_scroller | Scroll iteration 5
2026-03-06 18:44:13,448 | INFO | scraper.comment_scroller | Scroll iteration 6
2026-03-06 18:44:15,477 | INFO | scraper.comment_scroller | Scroll iteration 7
2026-03-06 18:44:17,509 | INFO | scraper.comment_scroller | Scroll iteration 8
2026-03-06 18:44:19,525 | INFO | scraper.comment_scroller | Scroll iteration 9
2026-03-06 18:44:21,552 | INFO | scraper.comment_scroller | Scroll iteration 10
2026-03-06 18:44:23,578 | INFO | scraper.comment_scroller | Finished scrolling comments
2026-03-06 18:44:23,579 | INFO | scraper.comment_extractor | Extracting comments from page
2026-03-06 18:44:23,625 | INFO | scraper.comment_extractor | Found containers using selector: article.comments-comment-entity
2026-03-06 18:44:23,626 | INFO | scraper.comment_extractor | Total comment containers: 23
2026-03-06 18:44:25,291 | INFO | scraper.comment_extractor | Extracted 23 comments
2026-03-06 18:44:35,308 | INFO | scraper.browser | Closing browser
